ID_interaction;Class_interactions;0;1;2;3;4;5;6;7;8;9
0;1;276146;297;72;7;1;2;2;3;9;6
1;1;276173;253;74;22;3;2;0;4;8;6
2;1;364834;303;121;26;8;10;2;2;3;1
3;1;371486;302;122;16;8;10;2;2;3;1
4;1;378389;63;54;76;2;6;1;2;0;1
5;1;471194;265;39;69;4;2;7;0;0;2
6;1;583874;282;174;74;18;44;20;2;6;2
7;1;365202;52;17;28;0;0;3;0;0;8
8;1;318427;299;46;10;1;27;2;0;0;4
9;1;497828;204;41;62;4;2;7;0;0;2
10;1;365310;0;0;0;0;0;0;0;0;0
11;1;378229;333;2;26;0;0;0;2;1;1
12;1;497816;218;32;69;4;2;7;0;0;2
13;1;411665;86;11;21;2;15;0;0;0;4
14;1;444524;367;71;19;12;2;1;17;0;1
15;1;338606;120;5;4;3;0;2;0;0;2
16;1;244941;300;112;0;6;12;0;0;0;14
17;1;597292;194;214;14;0;5;12;44;0;5
18;1;278671;249;9;2;9;8;0;14;1;1
19;1;431573;68;27;27;14;15;2;0;0;4
20;1;1095060;677;84;25;14;52;15;1;0;2
21;1;471176;256;59;78;2;2;7;0;0;2
22;1;1029363;104;34;2;4;2;0;0;0;1
23;1;411804;0;0;0;0;0;0;0;0;0
24;1;484866;0;0;0;0;0;0;0;0;0
25;1;345384;0;0;0;0;0;0;0;0;0
26;1;391865;2;0;1;0;6;1;2;0;1
27;1;404534;436;60;36;13;35;34;7;6;1
28;1;504409;267;35;69;1;2;7;0;0;2
29;1;444658;183;142;14;15;0;0;0;0;2
30;1;351574;177;223;11;0;14;9;16;1;1
31;1;497618;236;87;143;14;32;16;0;0;4
32;1;358332;221;35;65;4;3;7;0;0;1
33;1;364765;303;148;30;11;44;2;3;3;1
34;1;358414;210;23;3;8;6;0;3;0;1
35;1;371496;287;121;26;6;8;2;2;3;1
36;1;477860;160;48;65;78;3;7;0;1;2
37;1;351870;125;12;0;6;0;0;6;0;7
38;1;517681;277;36;70;1;2;7;0;0;2
39;1;365205;55;38;6;3;0;0;0;0;3
40;1;444645;269;47;29;5;13;1;0;3;2
