ID_interaction;Class_interactions;0;1;2;3;4;5;6;7;8;9;10;11
0;1;276146;297;48;27;4;1;2;0;2;3;9;6
1;1;276173;253;54;33;9;3;2;0;0;4;8;6
2;1;364834;210;192;22;30;4;1;11;0;2;3;1
3;1;371486;206;195;23;20;4;1;11;0;2;3;1
4;1;378272;170;52;88;2;0;5;1;1;2;0;1
5;1;471194;265;16;23;71;2;2;1;6;0;0;2
6;1;582798;1076;282;174;74;18;18;26;20;2;6;2
7;1;365055;174;27;38;5;0;0;0;3;0;0;8
8;1;318427;299;29;17;10;1;27;2;0;0;0;4
9;1;497828;204;17;24;64;2;2;1;6;0;0;2
10;1;365310;0;0;0;0;0;0;0;0;0;0;0
11;1;378229;317;16;27;1;0;0;0;0;2;1;1
12;1;497816;218;15;17;71;2;2;1;6;0;0;2
13;1;411665;86;11;2;19;2;15;0;0;0;0;4
14;1;444524;367;71;0;19;12;2;0;1;17;0;1
15;1;338606;120;3;2;7;0;0;2;0;0;0;2
16;1;244941;300;0;112;0;6;12;0;0;0;0;14
17;1;597292;194;0;214;14;0;5;12;0;44;0;5
18;1;278529;373;21;6;8;3;8;0;9;5;1;1
19;1;431573;68;27;21;6;14;15;0;2;0;0;4
20;1;1095060;624;86;72;4;14;52;10;6;0;0;2
21;1;471176;256;28;31;78;2;2;1;6;0;0;2
22;1;1029212;151;104;34;2;4;1;1;0;0;0;1
23;1;411804;0;0;0;0;0;0;0;0;0;0;0
24;1;484866;0;0;0;0;0;0;0;0;0;0;0
25;1;345384;0;0;0;0;0;0;0;0;0;0;0
26;1;391851;14;2;1;0;0;5;1;1;2;0;1
27;1;403850;684;436;60;36;13;4;31;34;7;6;1
28;1;504409;267;12;23;69;1;2;1;6;0;0;2
29;1;444658;183;55;87;29;0;0;0;0;0;0;2
30;1;351574;177;0;223;11;0;14;9;0;16;1;1
31;1;497618;236;87;95;48;14;32;16;0;0;0;4
32;1;358332;201;48;7;67;2;3;7;0;0;0;1
33;1;364765;176;244;31;34;7;35;11;1;2;3;1
34;1;358375;242;12;20;6;3;6;0;3;0;0;1
35;1;371496;201;185;22;28;4;0;10;0;2;3;1
36;1;477860;160;25;23;141;2;3;1;6;1;0;2
37;1;351870;125;0;12;0;6;0;0;6;0;0;7
38;1;517681;277;11;25;70;1;2;1;6;0;0;2
39;1;365205;55;24;14;6;3;0;0;0;0;0;3
40;1;444645;269;47;19;10;5;13;0;1;0;3;2
41;1;590860;237;23;4;0;2;0;6;1;1;1;3
42;1;491104;277;17;25;72;2;2;1;6;0;0;2
43;1;504538;168;10;4;62;0;2;0;6;0;0;2
44;1;431327;256;69;27;12;13;6;2;0;2;9;7
45;1;351836;180;1;0;2;0;0;1;1;1;2;2
46;1;589381;1105;316;162;77;23;18;26;20;2;6;2
47;1;497989;0;0;0;147;0;0;5;0;1;0;8
48;1;617706;0;0;0;0;0;0;0;0;0;0;0
49;1;504792;0;0;0;0;0;0;0;0;0;0;0
50;1;1122498;0;0;0;0;0;0;0;0;0;0;0
51;1;583806;425;181;47;5;4;1;1;7;2;11;6
52;1;464829;46;52;4;0;2;0;5;0;0;0;2
53;1;471223;242;15;18;71;2;2;1;6;0;0;2
54;1;298696;113;43;12;2;4;10;7;0;0;0;3
55;1;364892;158;0;217;11;0;6;9;0;15;1;1
56;1;311450;394;136;0;113;60;4;0;3;13;0;1
57;1;378310;155;23;8;9;1;1;11;8;0;2;66
58;1;284003;0;205;0;75;0;22;0;25;0;3;2
59;1;358220;189;188;23;28;4;0;10;0;2;3;1
60;1;167158;226;41;40;1;1;0;2;0;2;8;6
61;1;623509;522;109;58;103;0;10;35;0;0;0;2
62;1;10848;12;5;1;8;4;0;0;0;0;1;1
63;1;511036;308;46;27;1;13;1;0;0;0;1;1
64;1;404905;158;0;31;49;0;7;1;0;6;2;3
65;1;611064;0;0;0;0;0;0;0;0;0;0;0
66;1;637632;0;0;0;0;0;0;0;0;0;0;0
67;1;352026;0;0;0;0;0;0;0;0;0;0;0
68;1;511434;0;0;0;0;0;0;0;0;0;0;0
69;1;171316;15;17;4;0;0;12;14;0;0;0;2
70;1;504672;43;9;4;55;0;1;7;0;0;0;1
71;1;484601;169;12;9;64;1;2;0;6;0;0;2
72;1;424564;377;60;45;4;13;16;0;4;0;0;5
73;1;484608;141;21;15;70;1;2;0;6;0;0;2
74;1;12543;0;20;0;3;0;0;7;0;6;0;1
75;1;54408;0;0;0;87;0;0;0;31;0;0;4
76;1;217667;219;71;66;21;8;17;24;2;0;0;25
77;1;517616;162;178;28;47;7;0;0;4;0;0;34
78;1;1081850;602;82;71;3;14;6;10;6;0;0;2
79;1;364964;225;41;50;16;8;0;3;0;1;0;2
80;1;371752;113;20;1;53;1;7;1;1;2;0;1
81;1;268353;296;49;27;5;2;2;0;3;3;9;6
82;1;318554;225;23;1;8;0;1;0;0;0;0;4
83;1;410519;663;435;58;34;13;4;30;34;7;6;1
84;1;655773;1163;289;157;77;18;29;31;15;2;0;4
85;1;484417;317;26;17;78;1;2;0;6;0;0;2
86;1;484765;26;40;1;19;3;7;1;2;1;0;1
87;1;182914;92;37;3;7;0;2;2;4;0;2;2
88;1;291734;0;241;0;91;0;23;0;31;0;3;2
89;1;278779;153;11;1;8;2;6;0;0;0;0;4
90;1;365132;82;43;20;20;0;0;2;9;0;0;2
91;1;444395;433;79;45;6;17;17;1;4;14;2;1
92;1;609326;1138;269;162;75;18;25;26;15;2;6;2
93;1;311716;275;99;10;17;28;15;1;4;6;2;1
94;1;484506;266;10;4;70;0;2;0;6;0;0;2
95;1;935887;422;59;61;64;2;7;6;0;0;0;14
96;1;391878;0;0;0;0;0;0;0;0;0;0;0
97;1;325458;0;0;0;0;0;0;0;0;0;0;0
98;1;963090;0;0;0;0;0;0;0;0;0;0;0
99;1;405162;0;0;0;0;0;0;0;0;0;0;0
100;1;391878;0;0;0;0;0;0;0;0;0;0;0
101;1;451045;426;124;19;21;4;0;0;1;0;0;16
102;1;344971;150;0;220;11;0;14;0;0;16;1;1
103;1;305291;172;33;5;20;0;2;0;0;6;2;1
104;1;351526;196;0;152;0;110;11;0;10;0;8;13
105;1;371608;208;47;9;67;2;3;7;0;0;0;1
