ID_interaction;Class_interactions;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
0;1;276146;225;72;48;24;3;4;1;0;1;1;0;2;0;3;0;9;6
1;1;276173;186;67;54;20;13;9;2;1;2;0;0;0;0;4;0;8;6
2;1;364289;545;210;93;99;22;26;4;4;1;9;2;0;2;0;3;0;1
3;1;370926;560;206;96;99;23;16;4;4;1;9;2;0;2;0;3;0;1
4;1;378272;117;53;10;54;76;0;2;0;5;1;0;1;2;0;0;0;1
5;1;471045;149;265;16;23;0;69;2;2;2;1;0;6;0;0;0;0;2
6;1;582798;1076;0;282;174;0;74;18;0;18;26;0;20;2;0;6;0;2
7;1;365055;147;27;27;15;23;5;0;0;0;0;0;3;0;0;0;0;8
8;1;317576;851;299;29;0;17;10;1;0;27;0;2;0;0;0;0;0;4
9;1;497616;212;204;17;24;0;62;2;2;2;1;0;6;0;0;0;0;2
10;1;365310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;1;377945;284;317;16;2;25;1;0;0;0;0;0;0;2;0;1;0;1
12;1;497696;120;218;15;17;0;69;2;2;2;1;0;6;0;0;0;0;2
13;1;411555;110;86;0;11;2;19;0;2;15;0;0;0;0;0;0;2;2
14;1;444524;0;367;0;71;0;19;0;12;0;2;0;1;0;17;0;0;1
15;1;338365;241;120;3;2;0;4;3;0;0;2;0;0;0;0;0;0;2
16;1;244941;0;300;0;0;112;0;6;0;0;12;0;0;0;0;0;0;14
17;1;597292;0;194;0;214;0;14;0;0;5;0;12;0;44;0;0;0;5
18;1;278302;369;231;19;2;6;2;9;0;7;1;0;0;9;5;1;0;1
19;1;431348;225;68;0;27;21;6;0;14;15;0;0;2;0;0;0;2;2
20;1;1094029;1417;238;86;20;52;4;13;1;0;53;9;6;0;0;0;0;2
21;1;471024;152;256;28;31;0;78;0;2;2;1;0;6;0;0;0;0;2
22;1;1029212;151;0;104;34;0;2;4;0;1;1;0;0;0;0;0;0;1
23;1;411804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;1;484866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;1;345384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;1;391851;14;0;2;0;1;0;0;0;5;1;0;1;2;0;0;0;1
27;1;403850;684;0;436;60;0;36;13;0;4;31;0;34;7;0;6;0;1
28;1;504261;148;267;12;23;0;69;0;1;2;1;0;6;0;0;0;0;2
29;1;444250;408;183;55;87;0;14;15;0;0;0;0;0;0;0;0;0;2
30;1;351574;0;177;0;223;0;11;0;0;14;0;9;0;16;0;1;0;1
31;1;496602;1016;236;0;87;95;48;0;14;32;0;16;0;0;0;0;0;4
32;1;358086;246;201;20;30;5;65;2;2;0;3;7;0;0;0;0;0;1
33;1;364236;529;176;127;117;31;30;4;7;35;9;2;1;2;0;3;0;1
34;1;358126;288;203;12;18;2;1;8;0;5;1;0;1;2;0;0;0;1
35;1;370987;509;201;86;99;22;26;2;4;0;8;2;0;2;0;3;0;1
36;1;477574;286;160;25;23;0;65;76;2;3;1;0;6;0;1;0;0;2
37;1;351870;0;125;0;0;12;0;6;0;0;0;0;6;0;0;0;0;7
38;1;517533;148;277;11;25;0;70;0;1;2;1;0;6;0;0;0;0;2
39;1;364900;305;55;20;4;14;6;2;1;0;0;0;0;0;0;0;0;3
40;1;443634;1011;269;0;47;19;10;0;5;13;0;0;1;0;0;3;1;1
41;1;590454;406;237;19;6;2;0;0;2;0;5;1;1;0;1;1;0;3
42;1;490953;151;277;17;25;0;70;2;2;2;1;0;6;0;0;0;0;2
43;1;504362;176;168;10;4;0;62;0;0;2;0;0;6;0;0;0;0;2
44;1;430886;441;256;69;19;8;12;13;0;2;4;2;0;2;0;9;6;1
45;1;351786;71;159;1;0;0;2;0;0;0;0;1;1;0;1;2;0;2
46;1;589381;1105;0;316;162;0;77;23;0;18;26;0;20;2;0;6;0;2
47;1;497989;0;0;0;0;0;0;147;0;0;5;0;0;0;1;0;0;8
48;1;617706;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
