ID_interaction;Class_interactions;0
0;1;276545
1;1;276545
2;1;365310
3;1;371952
4;1;378594
5;1;471582
6;1;584496
7;1;365310
8;1;318816
9;1;498150
10;1;365310
11;1;378594
12;1;498150
13;1;411804
14;1;445014
15;1;338742
16;1;245385
17;1;597780
18;1;278964
19;1;431730
20;1;1095930
21;1;471582
22;1;1029510
23;1;411804
24;1;484866
25;1;345384
26;1;391878
27;1;405162
28;1;504792
29;1;445014
30;1;352026
31;1;498150
32;1;358668
33;1;365310
34;1;358668
35;1;371952
36;1;478224
37;1;352026
38;1;518076
39;1;365310
40;1;445014
41;1;591138
42;1;491508
43;1;504792
44;1;431730
45;1;352026
46;1;591138
47;1;498150
48;1;617706
49;1;504792
50;1;1122498
51;1;584496
52;1;464940
53;1;471582
54;1;298890
55;1;365310
56;1;312174
57;1;378594
58;1;284335
59;1;358668
60;1;167485
61;1;624348
62;1;10880
63;1;511434
64;1;405162
65;1;611064
66;1;637632
67;1;352026
68;1;511434
69;1;171380
70;1;504792
71;1;484866
72;1;425088
73;1;484866
74;1;12580
75;1;54530
76;1;218120
77;1;518076
78;1;1082646
79;1;365310
80;1;371952
81;1;268755
82;1;318816
83;1;411804
84;1;657558
85;1;484866
86;1;484866
87;1;183065
88;1;292125
89;1;278964
90;1;365310
91;1;445014
92;1;611064
93;1;312174
94;1;484866
95;1;936522
96;1;391878
97;1;325458
98;1;963090
99;1;405162
100;1;391878
101;1;451656
102;1;345384
103;1;305532
104;1;352026
105;1;371952
106;1;378594
107;1;385236
108;1;378594
109;1;171380
110;1;398520
111;1;332100
112;1;451656
113;1;338742
114;1;259038
115;1;391878
116;1;1095930
117;1;418446
118;1;318816
119;1;352026
120;1;365310
121;1;1069362
122;1;471582
123;1;278964
124;1;491508
125;1;352026
126;1;365310
127;1;278964
128;1;544644
129;1;405162
130;1;132430
131;1;272322
132;1;398520
133;1;949806
134;1;378594
135;1;365310
136;1;405162
137;1;338742
138;1;358668
139;1;318816
140;1;411804
141;1;451656
142;1;365310
143;1;571212
144;1;371952
145;1;391878
146;1;332100
147;1;418446
148;1;498150
149;1;737262
150;1;471582
151;1;1082646
152;1;630990
153;1;1301832
154;1;398520
155;1;371952
156;1;405162
157;1;1089288
158;1;325458
159;1;46740
160;1;451656
161;1;478224
162;1;46740
163;1;411804
164;1;571212
165;1;365310
166;1;352026
167;1;425088
168;1;325458
169;1;352026
170;1;471582
171;1;471582
172;1;371952
173;1;371952
174;1;1115856
175;1;471582
176;1;345384
177;1;478224
178;1;151905
179;1;438372
180;1;352026
181;1;345384
182;1;345384
183;1;391878
184;1;458298
185;1;391878
186;1;484866
187;1;385236
188;1;338742
189;1;1089288
190;1;398520
191;1;504792
192;1;418446
193;1;278964
194;1;358668
195;1;464940
196;1;425088
197;1;611064
198;1;983016
199;1;352026
200;1;257070
201;1;471582
202;1;358668
203;1;750546
204;1;1109214
205;1;1076004
206;1;338742
207;1;338742
208;1;591138
209;1;303810
210;1;338742
211;1;405162
212;1;385236
213;1;352026
214;1;1109214
215;1;159695
216;1;511434
217;1;624348
218;1;318816
219;1;498150
220;1;1082646
221;1;418446
222;1;365310
223;1;358668
224;1;431730
225;1;365310
226;1;332100
227;1;511434
228;1;411804
229;1;1095930
230;1;358668
231;1;8840
232;1;358668
233;1;1095930
234;1;391878
235;1;969732
236;1;325458
237;1;352026
238;1;292248
239;1;365310
240;1;425088
241;1;312174
242;1;358668
243;1;371952
244;1;418446
245;1;498150
246;1;464940
247;1;272650
248;1;318816
249;1;265680
250;1;1109214
251;1;405162
252;1;365310
253;1;378594
254;1;498150
255;1;1102572
256;1;345384
257;1;458298
258;1;352026
259;1;371952
260;1;252396
261;1;491508
262;1;391878
263;1;259038
264;1;371952
265;1;411804
266;1;484866
267;1;371952
268;1;604422
269;1;438372
270;1;498150
271;1;284335
272;1;371952
273;1;611064
274;1;1082646
275;1;504792
276;1;1089288
277;1;564570
278;1;597780
279;1;518076
280;1;352026
281;1;371952
282;1;498150
283;1;1089288
284;1;365310
285;1;478224
286;1;398520
287;1;504792
288;1;378594
289;1;312174
290;1;332100
291;1;504792
292;1;385236
293;1;557928
294;1;411804
295;1;163590
296;1;591138
297;1;438372
298;1;405162
299;1;504792
300;1;425088
301;1;365310
302;1;478224
303;1;464940
304;1;451656
305;1;451656
306;1;511434
307;1;518076
308;1;1082646
309;1;1109214
310;1;371952
311;1;405162
312;1;405162
313;1;365310
314;1;464940
315;1;391878
316;1;484866
317;1;498150
318;1;352026
319;1;1135782
320;1;418446
321;1;352026
322;1;604422
323;1;338742
324;1;318816
325;1;358668
326;1;365310
327;1;604422
328;1;451656
329;1;491508
330;1;597780
331;1;371952
332;1;358668
333;1;391878
334;1;617706
335;1;484866
336;1;229805
337;1;391878
338;1;1109214
339;1;358668
340;1;445014
341;1;431730
342;1;378594
343;1;498150
344;1;318816
345;1;155800
346;1;391878
347;1;167485
348;1;438372
349;1;338742
350;1;378594
351;1;471582
352;1;352026
353;1;518076
354;1;318816
355;1;318816
356;1;371952
357;1;352026
358;1;398520
359;1;385236
360;1;1089288
361;1;233070
362;1;969732
363;1;637632
364;1;491508
365;1;630990
366;1;1115856
367;1;312174
368;1;524718
369;1;378594
370;1;338742
371;1;425088
372;1;1002942
373;1;445014
374;1;152766
375;1;624348
376;1;1082646
377;1;1129140
378;1;391878
379;1;332100
380;1;385236
381;1;630990
382;1;358668
383;1;352026
384;1;345384
385;1;1135782
386;1;371952
387;1;411804
388;1;345384
389;1;365310
390;1;1115856
391;1;305532
392;1;398520
393;1;597780
394;1;338742
395;1;557928
396;1;1122498
397;1;391878
398;1;385236
399;1;1135782
400;1;385236
401;1;352026
402;1;418446
403;1;591138
404;1;338742
405;1;292248
406;1;491508
407;1;411804
408;1;976374
409;1;464940
410;1;325458
411;1;398520
412;1;312174
413;1;591138
414;1;604422
415;1;425088
416;1;42845
417;1;232470
418;1;365310
419;1;471582
420;1;352026
421;1;458298
422;1;398520
423;1;478224
424;1;286338
425;1;464940
426;1;484866
427;1;1102572
428;1;365310
429;1;385236
430;1;637632
431;1;338742
432;1;1089288
433;1;458298
434;1;411804
435;1;365310
436;1;438372
437;1;365310
438;1;405162
439;1;365310
440;1;531360
441;1;352026
442;1;418446
443;1;378594
444;1;332100
445;1;451656
446;1;445014
447;1;637632
448;1;132430
449;1;484866
450;1;484866
451;1;365310
452;1;1082646
453;1;478224
454;1;378594
455;1;245385
456;1;929880
457;1;345384
458;1;312174
459;1;1115856
460;1;471582
461;1;371952
462;1;345384
463;1;411804
464;1;418446
465;1;46740
466;1;378594
467;1;352026
468;1;591138
469;1;491508
470;1;385236
471;1;371952
472;1;298890
473;1;557928
474;1;358668
475;1;498150
476;1;332100
477;1;405162
478;1;438372
479;1;365310
480;1;498150
481;1;498150
482;1;418446
483;1;491508
484;1;1089288
485;1;411804
486;1;345384
487;1;371952
488;1;484866
489;1;345384
490;1;276545
491;1;237595
492;1;312174
493;1;478224
494;1;484866
495;1;405162
496;1;338742
497;1;471582
498;1;378594
499;1;338742
500;1;451656
501;1;391878
502;1;398520
503;1;458298
504;1;385236
505;1;391878
506;1;332100
507;1;484866
508;1;305532
509;1;58425
510;1;371952
511;1;312174
512;1;425088
513;1;365310
514;1;478224
515;1;371952
516;1;909954
517;1;345384
518;1;617706
519;1;358668
520;1;484866
521;1;584496
522;1;358668
523;1;478224
524;1;484866
525;1;305532
526;1;378594
527;1;378594
528;1;338742
529;1;471582
530;1;378594
531;1;391878
532;1;504792
533;1;491508
534;1;225910
535;1;365310
536;1;378594
537;1;451656
538;1;1089288
539;1;1135782
540;1;458298
541;1;345384
542;1;458298
543;1;976374
544;1;272650
545;1;398520
546;1;1155708
547;1;750546
548;1;398520
549;1;391878
550;1;411804
551;1;312174
552;1;345384
553;1;411804
554;1;358668
555;1;411804
556;1;1102572
557;1;478224
558;1;425088
559;1;358668
560;1;391878
561;1;411804
562;1;538002
563;1;405162
564;1;504792
565;1;431730
566;1;378594
567;1;484866
568;1;491508
569;1;312174
570;1;498150
571;1;863460
572;1;358668
573;1;1022868
574;1;378594
575;1;425088
576;1;491508
577;1;325458
578;1;418446
579;1;484866
580;1;66215
581;1;305532
582;1;538002
583;1;365310
584;1;451656
585;1;280440
586;1;471582
587;1;411804
588;1;378594
589;1;299915
590;1;458298
591;1;358668
592;1;458298
593;1;298890
594;1;431730
595;1;352026
596;1;338742
597;1;50635
598;1;365310
599;1;233700
600;1;338742
601;1;1109214
602;1;431730
603;1;10200
604;1;325458
605;1;398520
606;1;617706
607;1;358668
608;1;411804
609;1;604422
610;1;365310
611;1;391878
612;1;604422
613;1;458298
614;1;352026
615;1;54530
616;1;194225
617;1;1135782
618;1;538002
619;1;484866
620;1;464940
621;1;365310
622;1;504792
623;1;1102572
624;1;1142424
625;1;438372
626;1;371952
627;1;249280
628;1;239112
629;1;365310
630;1;385236
631;1;624348
632;1;484866
633;1;391878
634;1;498150
635;1;365310
636;1;6800
637;1;272322
638;1;391878
639;1;378594
640;1;391878
641;1;398520
642;1;6120
643;1;385236
644;1;66215
645;1;265680
646;1;571212
647;1;1135782
648;1;458298
649;1;170918
650;1;378594
651;1;209763
652;1;504792
653;1;338742
654;1;385236
655;1;365310
656;1;365310
657;1;186456
658;1;644274
659;1;371952
660;1;345384
661;1;1102572
662;1;225910
663;1;371952
664;1;511434
665;1;471582
666;1;524718
667;1;148010
668;1;438372
669;1;325458
670;1;418446
671;1;1109214
672;1;411804
673;1;299915
