ID_interaction;Class_interactions;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
0;1;275798;348;225;72;48;24;3;0;4;1;0;1;1;0;0;2;0;3;0;9;4;2
1;1;275807;366;186;67;54;20;13;0;9;2;1;2;0;0;0;0;0;4;0;8;4;2
2;1;364289;545;210;93;0;99;22;26;0;4;4;1;9;0;2;0;2;0;0;3;0;1
3;1;370926;560;206;96;0;99;23;16;0;4;4;1;9;0;2;0;2;0;0;3;0;1
4;1;378077;195;117;53;10;42;12;76;0;2;0;3;2;1;0;1;0;2;0;0;0;1
5;1;471045;149;265;0;16;23;0;69;2;0;2;2;0;1;6;0;0;0;0;0;0;2
6;1;582798;1076;0;282;0;174;0;74;0;18;0;18;26;0;20;0;2;0;6;0;0;2
7;1;365055;147;27;25;2;15;23;5;0;0;0;0;0;0;0;3;0;0;0;0;0;8
8;1;317576;851;0;299;29;0;17;10;0;1;0;27;0;0;2;0;0;0;0;0;0;4
9;1;497616;212;204;0;17;24;0;62;2;0;2;2;0;1;6;0;0;0;0;0;0;2
10;1;365310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;1;377945;284;317;0;16;2;25;0;1;0;0;0;0;0;0;0;2;0;0;1;0;1
12;1;497696;120;218;0;15;17;0;69;2;0;2;2;0;1;6;0;0;0;0;0;0;2
13;1;411555;110;0;86;0;11;2;0;19;0;2;15;0;0;0;0;0;0;0;0;2;2
14;1;444524;0;367;0;71;0;0;19;0;12;0;0;2;0;1;0;0;17;0;0;0;1
15;1;338365;241;120;0;3;2;0;4;3;0;0;0;0;2;0;0;0;0;0;0;0;2
16;1;244941;0;0;300;0;0;112;0;0;6;0;0;12;0;0;0;0;0;0;0;0;14
17;1;597292;0;194;0;0;214;0;0;14;0;0;5;0;12;0;0;44;0;0;0;0;5
18;1;278302;369;132;117;1;2;6;2;0;9;0;7;1;0;0;0;9;5;0;1;0;1
19;1;431348;225;0;68;0;27;21;0;6;0;14;15;0;0;0;2;0;0;0;0;2;2
20;1;1094029;1031;386;291;33;20;31;25;0;13;1;0;52;1;14;1;0;0;0;0;0;2
21;1;471024;152;256;0;28;31;0;78;0;0;2;2;0;1;6;0;0;0;0;0;0;2
22;1;1029212;151;0;104;0;34;0;2;0;4;0;1;1;0;0;0;0;0;0;0;0;1
23;1;411804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;1;484866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;1;345384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;1;391804;47;14;0;2;0;0;1;0;0;0;3;2;1;0;1;0;2;0;0;0;1
27;1;403850;684;0;436;0;60;0;36;0;13;0;4;31;0;34;0;7;0;6;0;0;1
28;1;504261;148;267;0;12;23;0;69;0;0;1;2;0;1;6;0;0;0;0;0;0;2
29;1;444250;408;183;0;55;87;0;14;15;0;0;0;0;0;0;0;0;0;0;0;0;2
30;1;351574;0;177;0;0;223;0;0;11;0;0;14;0;9;0;0;16;0;0;1;0;1
31;1;496602;1016;0;236;0;87;95;0;48;0;14;32;0;16;0;0;0;0;0;0;0;4
32;1;358086;246;89;112;48;2;5;2;65;0;2;0;3;7;0;0;0;0;0;0;0;1
33;1;364236;529;176;127;0;117;31;30;0;4;7;35;9;0;2;1;2;0;0;3;0;1
34;1;358126;288;120;90;5;18;0;3;0;8;0;5;1;0;0;1;2;0;0;0;0;1
35;1;370987;509;201;86;0;99;22;26;0;2;4;0;8;0;2;0;2;0;0;3;0;1
36;1;477574;286;160;0;25;23;0;65;76;0;2;3;0;1;6;0;0;1;0;0;0;2
37;1;351870;0;0;125;0;0;12;0;0;6;0;0;0;0;0;6;0;0;0;0;0;7
38;1;517533;148;277;0;11;25;0;70;0;0;1;2;0;1;6;0;0;0;0;0;0;2
39;1;364900;305;26;29;20;4;14;6;0;2;1;0;0;0;0;0;0;0;0;0;0;3
40;1;443634;1011;0;269;0;47;19;0;10;0;5;13;0;0;0;1;0;0;3;0;1;1
41;1;590454;406;117;120;23;2;2;0;0;0;2;0;0;6;1;0;0;1;1;0;0;3
42;1;490953;151;277;0;17;25;0;70;2;0;2;2;0;1;6;0;0;0;0;0;0;2
43;1;504362;176;168;0;10;4;0;62;0;0;0;2;0;0;6;0;0;0;0;0;0;2
44;1;430886;441;256;0;69;19;8;0;12;13;0;2;4;2;0;0;2;0;0;9;6;1
45;1;351446;390;169;11;1;0;0;0;2;0;0;0;0;0;1;1;0;1;1;1;0;2
46;1;589381;1105;0;316;0;162;0;77;0;23;0;18;26;0;20;0;2;0;6;0;0;2
47;1;497989;0;0;0;0;0;0;0;147;0;0;0;0;5;0;0;0;1;0;0;0;8
48;1;617706;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;1;504792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;1;1122498;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;1;583279;527;278;147;181;41;6;0;5;4;0;1;0;1;0;0;7;2;0;11;5;1
52;1;464581;248;0;46;0;52;4;0;0;0;2;0;0;5;0;0;0;0;0;0;1;1
53;1;471080;143;242;0;15;18;0;69;2;0;2;2;0;1;6;0;0;0;0;0;0;2
54;1;298696;0;113;0;43;0;12;0;2;0;4;0;10;0;7;0;0;0;0;0;0;3
55;1;364892;0;158;0;0;217;0;0;11;0;0;6;0;9;0;0;15;0;0;1;0;1
56;1;311450;0;394;0;136;0;0;113;0;60;0;0;4;0;3;0;0;13;0;0;0;1
57;1;378123;187;120;35;21;2;2;6;6;3;1;0;1;0;11;7;1;0;0;0;2;66
58;1;284003;0;0;205;0;0;0;75;0;0;0;22;0;0;25;0;0;0;3;0;0;2
59;1;357704;516;189;89;0;99;23;26;0;2;4;0;8;0;2;0;2;0;0;3;0;1
60;1;166890;268;176;50;41;20;20;0;1;1;0;0;0;2;0;0;0;2;0;8;4;2
61;1;622213;1296;354;168;82;27;26;32;83;20;0;3;7;35;0;0;0;0;0;0;0;2
62;1;10823;25;12;0;5;1;0;3;5;0;4;0;0;0;0;0;0;0;0;1;0;1
63;1;510060;976;308;0;46;14;13;0;1;13;0;0;1;0;0;0;0;0;0;1;0;1
64;1;404905;0;158;0;0;31;0;0;49;0;0;7;0;1;0;0;6;0;0;2;0;3
65;1;611064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66;1;637632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;1;352026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;1;511434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;1;171316;0;15;0;17;0;4;0;0;0;0;12;0;14;0;0;0;0;0;0;0;2
70;1;504507;165;19;24;9;4;0;0;55;0;0;1;0;7;0;0;0;0;0;0;0;1
71;1;484364;237;169;0;12;9;0;62;2;0;1;2;0;0;6;0;0;0;0;0;0;2
72;1;423297;1267;377;0;60;13;32;0;4;13;0;15;1;0;0;4;0;0;0;0;0;5
73;1;484375;233;141;0;21;15;0;70;0;0;1;2;0;0;6;0;0;0;0;0;0;2
74;1;12543;0;0;0;20;0;0;0;3;0;0;0;0;7;0;0;0;6;0;0;0;1
