ID_interaction;Class_interactions;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27
0;1;275798;348;225;0;72;48;0;24;3;0;4;1;0;0;1;0;1;0;0;2;0;0;3;0;0;9;4;2
1;1;275807;366;186;0;67;54;0;20;13;0;9;2;0;1;2;0;0;0;0;0;0;0;4;0;0;8;4;2
2;1;364289;545;0;210;93;0;99;0;22;26;0;4;0;4;1;0;9;0;2;0;0;2;0;0;3;0;0;1
3;1;370926;560;0;206;96;0;99;0;23;16;0;4;0;4;1;0;9;0;2;0;0;2;0;0;3;0;0;1
4;1;378077;195;117;53;0;10;42;12;76;0;0;2;0;0;3;2;1;0;0;1;0;2;0;0;0;0;0;1
5;1;471045;149;0;265;0;16;0;23;0;69;0;2;0;2;2;0;1;0;6;0;0;0;0;0;0;0;0;2
6;1;582798;0;1076;0;282;0;0;174;0;74;0;18;0;0;18;0;26;0;20;0;0;2;0;6;0;0;0;2
7;1;364725;330;147;27;25;0;2;15;23;5;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;8
8;1;317576;0;851;0;299;0;29;0;17;0;10;0;1;0;27;0;0;0;2;0;0;0;0;0;0;0;0;4
9;1;497616;212;0;204;0;17;0;24;0;62;0;2;0;2;2;0;1;0;6;0;0;0;0;0;0;0;0;2
10;1;365310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;1;377945;284;0;317;0;16;0;2;25;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1
12;1;497696;120;0;218;0;15;0;17;0;69;0;2;0;2;2;0;1;0;6;0;0;0;0;0;0;0;0;2
13;1;411555;0;110;0;86;0;11;0;2;0;19;0;2;0;0;15;0;0;0;0;0;0;0;0;0;2;0;2
14;1;444524;0;0;367;0;0;71;0;0;19;0;0;12;0;0;2;0;0;1;0;0;17;0;0;0;0;0;1
15;1;338365;241;0;120;0;3;0;2;0;4;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
16;1;244941;0;0;0;300;0;0;0;112;0;0;0;6;0;0;0;12;0;0;0;0;0;0;0;0;0;0;14
17;1;597292;0;0;194;0;0;0;214;0;0;14;0;0;0;5;0;0;12;0;0;0;44;0;0;0;0;0;5
18;1;278302;227;142;132;117;1;2;0;6;2;0;6;3;0;7;1;0;0;0;0;9;0;5;0;1;0;0;1
19;1;431348;0;225;0;68;0;27;0;21;0;6;0;14;0;0;15;0;0;0;2;0;0;0;0;0;2;0;2
20;1;1092840;1189;1031;386;238;53;33;20;31;21;4;0;13;1;0;0;52;1;9;5;1;0;0;0;0;0;0;2
21;1;471024;152;0;256;0;28;0;31;0;78;0;0;0;2;2;0;1;0;6;0;0;0;0;0;0;0;0;2
22;1;1029212;0;151;0;104;0;0;34;0;2;0;4;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1
23;1;411804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;1;484866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;1;345384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;1;391804;47;14;0;0;2;0;0;1;0;0;0;0;0;3;2;1;0;0;1;0;2;0;0;0;0;0;1
27;1;403850;0;684;0;436;0;0;60;0;36;0;13;0;0;4;0;31;0;34;0;0;7;0;6;0;0;0;1
28;1;504261;148;0;267;0;12;0;23;0;69;0;0;0;1;2;0;1;0;6;0;0;0;0;0;0;0;0;2
29;1;444250;408;0;183;0;55;0;87;0;14;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
30;1;351574;0;0;177;0;0;0;223;0;0;11;0;0;0;14;0;0;9;0;0;0;16;0;0;1;0;0;1
31;1;496602;0;1016;0;236;0;87;0;95;0;48;0;14;0;0;32;0;16;0;0;0;0;0;0;0;0;0;4
32;1;357531;555;246;89;112;20;28;2;5;2;63;2;0;2;0;3;0;7;0;0;0;0;0;0;0;0;0;1
33;1;364236;529;0;176;127;0;117;0;31;30;0;4;0;7;35;0;9;0;2;1;0;2;0;0;3;0;0;1
34;1;358126;249;39;120;90;5;0;18;0;3;0;5;3;0;5;1;0;0;0;1;2;0;0;0;0;0;0;1
35;1;370987;509;0;201;86;0;99;0;22;26;0;2;0;4;0;0;8;0;2;0;0;2;0;0;3;0;0;1
36;1;477574;286;0;160;0;25;0;23;0;65;0;76;0;2;3;0;1;0;6;0;0;0;1;0;0;0;0;2
