ID_interaction;Class_interactions;0;1
0;1;276523;22
1;1;276525;20
2;1;365292;18
3;1;371934;18
4;1;378584;10
5;1;471571;11
6;1;584422;74
7;1;365299;11
8;1;318783;33
9;1;498139;11
10;1;365310;0
11;1;378590;4
12;1;498139;11
13;1;411785;19
14;1;444993;21
15;1;338738;4
16;1;245359;26
17;1;597714;66
18;1;278940;24
19;1;431709;21
20;1;1095860;70
21;1;471571;11
22;1;1029507;3
23;1;411804;0
24;1;484866;0
25;1;345384;0
26;1;391868;10
27;1;405079;83
28;1;504781;11
29;1;445012;2
30;1;351985;41
31;1;498098;52
32;1;358657;11
33;1;365257;53
34;1;358658;10
35;1;371936;16
36;1;478211;13
37;1;352013;13
38;1;518065;11
39;1;365307;3
40;1;444995;19
41;1;591126;12
42;1;491497;11
43;1;504782;10
44;1;431704;26
45;1;352019;7
46;1;591064;74
47;1;498136;14
48;1;617706;0
49;1;504792;0
50;1;1122498;0
51;1;584468;28
52;1;464933;7
53;1;471571;11
54;1;298870;20
55;1;365278;32
56;1;312153;21
57;1;378506;88
58;1;284283;52
59;1;358652;16
60;1;167467;18
61;1;624301;47
62;1;10878;2
63;1;511431;3
64;1;405143;19
65;1;611064;0
66;1;637632;0
67;1;352026;0
68;1;511434;0
69;1;171352;28
70;1;504783;9
71;1;484856;10
72;1;425063;25
73;1;484856;10
74;1;12566;14
75;1;54495;35
76;1;218052;68
77;1;518038;38
78;1;1082622;24
79;1;365304;6
80;1;371940;12
81;1;268732;23
82;1;318811;5
83;1;411722;82
84;1;657477;81
85;1;484856;10
86;1;484854;12
87;1;183053;12
88;1;292066;59
89;1;278954;10
90;1;365297;13
91;1;444975;39
92;1;610988;76
93;1;312145;29
94;1;484856;10
95;1;936495;27
96;1;391878;0
97;1;325458;0
98;1;963090;0
99;1;405162;0
100;1;391878;0
101;1;451639;17
102;1;345352;32
103;1;305521;11
104;1;351984;42
105;1;371941;11
106;1;378583;11
107;1;385224;12
108;1;378583;11
109;1;171360;20
110;1;398485;35
111;1;332086;14
112;1;451644;12
113;1;338740;2
114;1;259014;24
115;1;391838;40
116;1;1095930;0
117;1;418446;0
118;1;318816;0
119;1;352026;0
120;1;365310;0
121;1;1069362;0
122;1;471582;0
123;1;278960;4
124;1;491497;11
125;1;352001;25
126;1;365310;0
127;1;278964;0
128;1;544644;0
129;1;405162;0
130;1;132430;0
131;1;272322;0
132;1;398520;0
133;1;949692;114
134;1;378583;11
135;1;365220;90
136;1;405137;25
137;1;338711;31
138;1;358588;80
139;1;318813;3
140;1;411802;2
141;1;451635;21
142;1;365303;7
143;1;571201;11
144;1;371920;32
145;1;391829;49
146;1;332052;48
147;1;418354;92
148;1;498139;11
149;1;737180;82
150;1;471582;0
151;1;1082534;112
152;1;630928;62
153;1;1301780;52
154;1;398502;18
155;1;371949;3
156;1;405162;0
157;1;1089288;0
158;1;325458;0
159;1;46740;0
160;1;451587;69
161;1;478214;10
162;1;46740;0
163;1;411799;5
164;1;571200;12
165;1;365279;31
166;1;351988;38
167;1;425072;16
168;1;325407;51
169;1;352023;3
170;1;471571;11
171;1;471571;11
172;1;371945;7
173;1;371939;13
174;1;1115770;86
175;1;471571;11
176;1;345330;54
177;1;478213;11
178;1;151881;24
179;1;438327;45
180;1;352012;14
181;1;345379;5
182;1;345357;27
183;1;391868;10
184;1;458281;17
185;1;391873;5
186;1;484866;0
187;1;385236;0
188;1;338742;0
189;1;1089288;0
190;1;398520;0
191;1;504792;0
192;1;418446;0
193;1;278964;0
194;1;358668;0
195;1;464930;10
196;1;425086;2
197;1;611009;55
198;1;983016;0
199;1;352026;0
200;1;257070;0
201;1;471577;5
202;1;358624;44
203;1;750529;17
204;1;1109177;37
205;1;1076004;0
206;1;338742;0
207;1;338742;0
208;1;591131;7
209;1;303775;35
210;1;338701;41
211;1;405130;32
212;1;385204;32
213;1;352012;14
214;1;1109144;70
215;1;159668;27
216;1;511353;81
217;1;624281;67
218;1;318809;7
219;1;498147;3
220;1;1082646;0
221;1;418446;0
222;1;365310;0
223;1;358668;0
224;1;431730;0
225;1;365310;0
226;1;332100;0
227;1;511434;0
228;1;411798;6
229;1;1095911;19
230;1;358668;0
231;1;8840;0
232;1;358668;0
233;1;1095930;0
234;1;391872;6
235;1;969715;17
236;1;325455;3
237;1;352019;7
238;1;292216;32
239;1;365306;4
240;1;425084;4
241;1;312162;12
242;1;358660;8
243;1;371949;3
244;1;418410;36
245;1;498140;10
246;1;464929;11
247;1;272632;18
248;1;318808;8
249;1;265663;17
250;1;1109214;0
251;1;405161;1
252;1;365308;2
253;1;378589;5
254;1;498139;11
255;1;1102502;70
256;1;345377;7
257;1;458106;192
258;1;351985;41
259;1;371939;13
260;1;252386;10
261;1;491457;51
262;1;391865;13
263;1;259038;0
264;1;371952;0
265;1;411804;0
266;1;484866;0
267;1;371952;0
268;1;604417;5
269;1;438351;21
270;1;498139;11
271;1;284330;5
272;1;371920;32
273;1;611057;7
274;1;1082559;87
275;1;504781;11
276;1;1089177;111
277;1;564389;181
278;1;597732;48
279;1;517984;92
280;1;352007;19
