ID_interaction;Class_interactions;0;1;2
0;1;276518;7;20
1;1;276513;14;18
2;1;365258;46;6
3;1;371910;36;6
4;1;378582;8;4
5;1;471498;76;8
6;1;584330;136;30
7;1;365294;5;11
8;1;318772;40;4
9;1;498073;69;8
10;1;365310;0;0
11;1;378589;1;4
12;1;498066;76;8
13;1;411764;36;4
14;1;444962;33;19
15;1;338731;9;2
16;1;245353;18;14
17;1;597700;31;49
18;1;278929;19;16
19;1;431689;35;6
20;1;1095842;80;8
21;1;471491;83;8
22;1;1029501;8;1
23;1;411804;0;0
24;1;484866;0;0
25;1;345384;0;0
26;1;391868;6;4
27;1;405030;84;48
28;1;504711;73;8
29;1;444983;29;2
30;1;351974;34;18
31;1;498036;110;4
32;1;358588;79;1
33;1;365216;87;7
34;1;358649;15;4
35;1;371904;42;6
36;1;478068;147;9
37;1;352007;6;13
38;1;517994;74;8
39;1;365298;9;3
40;1;444980;28;6
41;1;591124;8;6
42;1;491423;77;8
43;1;504720;64;8
44;1;431679;33;18
45;1;352017;3;6
46;1;590964;144;30
47;1;497989;152;9
48;1;617706;0;0
49;1;504792;0;0
50;1;1122498;0;0
51;1;584459;11;26
52;1;464931;7;2
53;1;471498;76;8
54;1;298864;23;3
55;1;365267;26;17
56;1;311980;177;17
57;1;378496;22;76
58;1;284208;97;30
59;1;358620;42;6
60;1;167465;4;16
61;1;624198;148;2
62;1;10866;12;2
63;1;511417;15;2
64;1;405094;57;11
65;1;611064;0;0
66;1;637632;0;0
67;1;352026;0;0
68;1;511434;0;0
69;1;171352;26;2
70;1;504728;63;1
71;1;484791;67;8
72;1;425046;33;9
73;1;484785;73;8
74;1;12563;10;7
75;1;54408;87;35
76;1;218023;70;27
77;1;517984;54;38
78;1;1082605;33;8
79;1;365280;27;3
80;1;371886;62;4
81;1;268725;9;21
82;1;318803;9;4
83;1;411675;81;48
84;1;657382;155;21
85;1;484777;81;8
86;1;484832;30;4
87;1;183046;11;8
88;1;291975;114;36
89;1;278944;16;4
90;1;365277;22;11
91;1;444952;41;21
92;1;610895;144;25
93;1;312100;61;13
94;1;484786;72;8
95;1;936429;79;14
96;1;391878;0;0
97;1;325458;0;0
98;1;963090;0;0
99;1;405162;0;0
100;1;391878;0;0
101;1;451614;25;17
102;1;345341;25;18
103;1;305501;22;9
104;1;351874;121;31
105;1;371872;79;1
106;1;378497;89;8
107;1;385094;140;2
108;1;378554;29;11
109;1;171352;25;3
110;1;398476;28;16
111;1;332039;57;4
112;1;451627;24;5
113;1;338718;22;2
114;1;259003;31;4
115;1;391730;118;30
116;1;1095930;0;0
117;1;418446;0;0
118;1;318816;0;0
119;1;352026;0;0
120;1;365310;0;0
121;1;1069362;0;0
122;1;471582;0;0
123;1;278944;18;2
124;1;491424;76;8
125;1;351964;55;7
126;1;365310;0;0
127;1;278964;0;0
128;1;544644;0;0
129;1;405162;0;0
130;1;132430;0;0
131;1;272322;0;0
132;1;398520;0;0
133;1;949596;145;65
134;1;378564;19;11
135;1;365171;57;82
136;1;405104;41;17
137;1;338626;95;21
138;1;358575;91;2
139;1;318807;7;2
140;1;411801;1;2
141;1;451617;34;5
142;1;365299;9;2
143;1;571174;34;4
144;1;371909;26;17
145;1;391716;121;41
146;1;332042;54;4
147;1;418344;18;84
148;1;498068;74;8
149;1;737036;183;43
150;1;471582;0;0
151;1;1082485;64;97
152;1;630887;92;11
153;1;1301733;66;33
154;1;398474;40;6
155;1;371949;0;3
156;1;405162;0;0
157;1;1089288;0;0
158;1;325458;0;0
159;1;46740;0;0
160;1;451582;66;8
161;1;478135;81;8
162;1;46740;0;0
163;1;411790;10;4
164;1;571198;8;6
165;1;365257;47;6
166;1;351977;31;18
167;1;425055;31;2
168;1;325396;58;4
169;1;352007;17;2
170;1;471491;83;8
171;1;471491;83;8
172;1;371930;20;2
173;1;371919;22;11
174;1;1115710;78;68
175;1;471500;74;8
176;1;345281;74;29
177;1;478143;73;8
178;1;151870;15;20
179;1;438252;114;6
180;1;351900;121;5
181;1;345376;4;4
182;1;345304;76;4
183;1;391866;8;4
184;1;458270;24;4
185;1;391847;27;4
186;1;484866;0;0
187;1;385236;0;0
188;1;338742;0;0
