ID_interaction;Class_interactions;0;1;2;3
0;1;276491;32;4;18
1;1;276480;45;2;18
2;1;365236;56;12;6
3;1;371887;47;12;6
4;1;378494;90;7;3
5;1;471475;96;9;2
6;1;584156;266;64;10
7;1;365256;43;3;8
8;1;318755;28;29;4
9;1;498049;90;9;2
10;1;365310;0;0;0
11;1;378562;28;0;4
12;1;498049;90;9;2
13;1;411762;23;15;4
14;1;444962;31;3;18
15;1;338729;9;2;2
16;1;245241;118;12;14
17;1;597486;228;17;49
18;1;278923;17;17;7
19;1;431668;41;17;4
20;1;1095770;90;68;2
21;1;471460;111;9;2
22;1;1029467;40;2;1
23;1;411804;0;0;0
24;1;484866;0;0;0
25;1;345384;0;0;0
26;1;391867;1;7;3
27;1;404970;109;69;14
28;1;504688;93;9;2
29;1;444896;116;0;2
30;1;351751;234;23;18
31;1;497941;157;48;4
32;1;358581;76;10;1
33;1;365185;72;47;6
34;1;358629;29;9;1
35;1;371882;54;10;6
36;1;478045;166;10;3
37;1;351995;18;6;7
38;1;517969;96;9;2
39;1;365284;23;0;3
40;1;444961;34;14;5
41;1;591120;6;7;5
42;1;491398;99;9;2
43;1;504716;66;8;2
44;1;431652;52;8;18
45;1;352017;2;2;5
46;1;590802;262;64;10
47;1;497989;147;5;9
48;1;617706;0;0;0
49;1;504792;0;0;0
50;1;1122498;0;0;0
51;1;584412;56;9;19
52;1;464927;6;5;2
53;1;471480;91;9;2
54;1;298852;18;17;3
55;1;365050;228;15;17
56;1;311980;173;7;14
57;1;378488;18;20;68
58;1;284208;75;47;5
59;1;358597;55;10;6
60;1;167425;42;2;16
61;1;624140;161;45;2
62;1;10865;13;0;2
63;1;511390;41;1;2
64;1;405063;80;8;11
65;1;611064;0;0;0
66;1;637632;0;0;0
67;1;352026;0;0;0
68;1;511434;0;0;0
69;1;171348;4;26;2
70;1;504724;59;8;1
71;1;484782;74;8;2
72;1;425001;62;20;5
73;1;484770;86;8;2
74;1;12563;3;7;7
75;1;54408;87;31;4
76;1;217957;95;43;25
77;1;517956;82;4;34
78;1;1082534;88;22;2
79;1;365230;74;3;3
80;1;371885;55;9;3
81;1;268698;34;5;18
82;1;318802;9;1;4
83;1;411617;105;68;14
84;1;657225;252;75;6
85;1;484760;96;8;2
86;1;484831;23;10;2
87;1;183043;10;8;4
88;1;291975;91;54;5
89;1;278943;11;6;4
90;1;365257;40;11;2
91;1;444907;68;22;17
92;1;610733;255;66;10
93;1;312090;55;20;9
94;1;484782;74;8;2
95;1;936368;127;13;14
96;1;391878;0;0;0
97;1;325458;0;0;0
98;1;963090;0;0;0
99;1;405162;0;0;0
100;1;391878;0;0;0
101;1;451595;44;1;16
102;1;345121;231;14;18
103;1;305496;25;2;9
104;1;351722;262;21;21
105;1;371863;78;10;1
106;1;378483;100;5;6
107;1;385013;211;10;2
108;1;378532;51;9;2
109;1;171343;17;18;2
110;1;398460;25;20;15
