ID_interaction;Class_interactions;0;1;2;3;4
0;1;276443;79;3;5;15
1;1;276426;96;5;4;14
2;1;365137;147;18;4;4
3;1;371788;138;18;4;4
4;1;378452;130;8;3;1
5;1;471459;108;6;7;2
6;1;584156;248;62;22;8
7;1;365254;45;0;3;8
8;1;318726;56;28;2;4
9;1;498032;103;6;7;2
10;1;365310;0;0;0;0
11;1;378562;28;0;2;2
12;1;498034;101;6;7;2
13;1;411751;32;17;0;4
14;1;444891;90;14;18;1
15;1;338726;9;3;2;2
16;1;245241;112;18;0;14
17;1;597486;228;5;56;5
18;1;278920;11;17;14;2
19;1;431641;54;29;2;4
20;1;1095737;109;66;16;2
21;1;471432;137;4;7;2
22;1;1029467;36;6;0;1
23;1;411804;0;0;0;0
24;1;484866;0;0;0;0
25;1;345384;0;0;0;0
26;1;391867;1;6;3;1
27;1;404970;96;48;41;7
28;1;504676;104;3;7;2
29;1;444841;156;15;0;2
30;1;351751;234;14;25;2
31;1;497854;230;46;16;4
32;1;358553;100;7;7;1
33;1;365068;178;55;5;4
34;1;358624;26;14;3;1
35;1;371783;147;14;4;4
36;1;478020;113;81;7;3
37;1;351995;12;6;6;7
38;1;517958;106;3;7;2
39;1;365260;44;3;0;3
40;1;444914;76;18;1;5
41;1;591116;8;7;3;4
42;1;491381;112;6;7;2
43;1;504706;76;2;6;2
44;1;431652;39;19;4;16
45;1;352017;2;0;2;5
46;1;590802;239;67;22;8
47;1;497989;0;147;5;9
48;1;617706;0;0;0;0
49;1;504792;0;0;0;0
50;1;1122498;0;0;0;0
51;1;584231;233;5;10;17
52;1;464875;56;2;5;2
53;1;471465;102;6;7;2
54;1;298852;14;14;7;3
55;1;365050;228;6;24;2
56;1;311844;249;64;16;1
57;1;378486;16;5;19;68
58;1;284208;75;22;25;5
59;1;358498;148;14;4;4
60;1;167384;82;1;4;14
61;1;624113;168;65;0;2
62;1;10860;9;9;0;2
63;1;511390;28;14;0;2
64;1;405063;80;7;7;5
65;1;611064;0;0;0;0
66;1;637632;0;0;0;0
67;1;352026;0;0;0;0
68;1;511434;0;0;0;0
69;1;171331;21;12;14;2
70;1;504724;59;2;6;1
71;1;484770;83;5;6;2
72;1;425001;49;29;4;5
73;1;484749;106;3;6;2
74;1;12543;20;3;7;7
75;1;54408;87;0;31;4
76;1;217957;87;25;26;25
77;1;517873;158;7;4;34
78;1;1082500;108;20;16;2
79;1;365189;103;12;3;3
80;1;371876;10;62;3;1
81;1;268649;81;4;6;15
82;1;318779;32;1;0;4
83;1;411617;92;47;41;7
84;1;657225;234;78;17;4
85;1;484734;121;3;6;2
86;1;484791;57;13;3;2
87;1;183034;19;2;6;4
88;1;291975;91;23;31;5
89;1;278932;20;8;0;4
90;1;365214;68;15;11;2
91;1;444907;51;34;14;8
92;1;610733;237;69;17;8
93;1;311991;126;43;5;9
94;1;484772;84;2;6;2
95;1;936340;150;12;6;14
96;1;391878;0;0;0;0
97;1;325458;0;0;0;0
98;1;963090;0;0;0;0
99;1;405162;0;0;0;0
100;1;391878;0;0;0;0
101;1;451502;133;4;1;16
102;1;345121;231;14;16;2
103;1;305478;42;3;5;4
104;1;351722;152;121;10;21
105;1;371835;102;7;7;1
106;1;378483;30;73;4;4
107;1;385013;159;62;0;2
108;1;378492;66;25;9;2
109;1;171343;17;17;1;2
110;1;398268;208;27;2;15
111;1;332011;31;54;2;2
112;1;451593;38;19;4;2
113;1;338711;17;12;0;2
114;1;258984;28;21;1;4
115;1;391697;33;118;9;21
116;1;1095930;0;0;0;0
117;1;418446;0;0;0;0
118;1;318816;0;0;0;0
119;1;352026;0;0;0;0
120;1;365310;0;0;0;0
121;1;1069362;0;0;0;0
122;1;471582;0;0;0;0
123;1;278943;16;1;2;2
124;1;491385;108;6;7;2
125;1;351893;103;15;12;3
126;1;365310;0;0;0;0
127;1;278964;0;0;0;0
128;1;544644;0;0;0;0
129;1;405162;0;0;0;0
130;1;132430;0;0;0;0
131;1;272322;0;0;0;0
132;1;398520;0;0;0;0
133;1;949465;209;63;64;5
134;1;378502;66;15;9;2
135;1;365138;33;57;4;78
136;1;404934;180;29;2;17
137;1;338626;85;10;10;11
138;1;358547;37;82;0;2
139;1;318786;23;5;0;2
140;1;411799;2;1;0;2
141;1;451532;90;29;3;2
142;1;365282;19;7;0;2
143;1;571119;68;20;2;3
144;1;371692;228;6;24;2
145;1;391506;303;28;26;15
146;1;332005;37;54;0;4
147;1;418227;117;18;5;79
148;1;498031;107;3;7;2
149;1;736692;466;24;77;3
150;1;471582;0;0;0;0
151;1;1082330;171;48;73;24
152;1;630816;98;65;3;8
