ID_interaction;Class_interactions;0;1;2;3;4;5
0;1;276443;75;5;2;5;15
1;1;276426;87;12;2;4;14
2;1;365044;214;34;12;2;4
3;1;371692;218;24;12;2;4
4;1;378442;140;2;6;3;1
5;1;471459;39;73;3;6;2
6;1;583874;456;92;44;22;8
7;1;365229;65;5;0;3;8
8;1;318726;46;11;29;0;4
9;1;498032;41;66;3;6;2
10;1;365310;0;0;0;0;0
11;1;378546;43;1;0;2;2
12;1;498034;32;73;3;6;2
13;1;411751;13;21;15;0;4
14;1;444891;71;31;2;18;1
15;1;338726;5;7;2;0;2
16;1;245241;112;6;12;0;14
17;1;597486;214;14;17;44;5
18;1;278902;27;11;8;14;2
19;1;431641;48;20;15;2;4
20;1;1095684;158;18;62;6;2
21;1;471432;59;80;3;6;2
22;1;1029363;138;6;2;0;1
23;1;411804;0;0;0;0;0
24;1;484866;0;0;0;0;0
25;1;345384;0;0;0;0;0
26;1;391865;3;0;6;3;1
27;1;404534;496;49;35;41;7
28;1;504676;35;70;3;6;2
29;1;444841;142;29;0;0;2
30;1;351751;223;11;23;16;2
31;1;497854;182;62;48;0;4
32;1;358533;55;69;10;0;1
33;1;364941;275;41;46;3;4
34;1;358617;32;9;6;3;1
35;1;371697;207;32;10;2;4
36;1;478020;48;143;4;7;2
37;1;351995;12;6;0;6;7
38;1;517958;36;71;3;6;2
39;1;365260;38;9;0;0;3
40;1;444914;66;15;13;1;5
41;1;591097;27;2;6;2;4
42;1;491381;42;74;3;6;2
43;1;504706;14;62;2;6;2
44;1;431583;96;25;8;2;16
45;1;352016;1;2;1;2;4
46;1;590486;478;100;44;22;8
47;1;497989;0;147;5;1;8
48;1;617706;0;0;0;0;0
49;1;504792;0;0;0;0;0
50;1;1122498;0;0;0;0;0
51;1;584231;228;9;2;9;17
52;1;464875;56;2;5;0;2
53;1;471465;33;73;3;6;2
54;1;298809;55;6;17;0;3
55;1;365050;217;11;15;15;2
56;1;311844;136;173;4;16;1
57;1;378465;31;10;12;8;68
58;1;284003;205;75;22;25;5
59;1;358409;211;32;10;2;4
60;1;167384;81;2;2;2;14
61;1;624031;167;103;45;0;2
62;1;10860;6;12;0;0;2
63;1;511344;73;14;1;0;2
64;1;405063;31;49;8;6;5
65;1;611064;0;0;0;0;0
66;1;637632;0;0;0;0;0
67;1;352026;0;0;0;0;0
68;1;511434;0;0;0;0;0
69;1;171331;21;0;26;0;2
70;1;504715;13;55;8;0;1
71;1;484770;21;65;2;6;2
72;1;424941;105;17;16;4;5
73;1;484749;36;71;2;6;2
74;1;12543;20;3;7;6;1
75;1;54408;0;87;0;31;4
76;1;217886;137;29;41;2;25
77;1;517778;206;54;0;4;34
78;1;1082452;153;17;16;6;2
79;1;365189;91;24;3;1;2
80;1;371865;21;54;8;3;1
81;1;268649;76;7;2;6;15
82;1;318779;24;8;1;0;4
83;1;411182;493;47;34;41;7
84;1;656936;446;95;60;17;4
85;1;484734;43;79;2;6;2
86;1;484791;41;22;8;3;1
87;1;183006;40;7;4;4;4
88;1;291734;241;91;23;31;5
89;1;278932;12;10;6;0;4
90;1;365214;63;20;2;9;2
91;1;444828;124;23;18;18;3
92;1;610464;431;93;51;17;8
93;1;311991;109;45;16;10;3
94;1;484772;14;70;2;6;2
95;1;936309;120;66;13;0;14
96;1;391878;0;0;0;0;0
97;1;325458;0;0;0;0;0
98;1;963090;0;0;0;0;0
99;1;405162;0;0;0;0;0
100;1;391878;0;0;0;0;0
101;1;451471;143;25;0;1;16
102;1;345121;220;11;14;16;2
103;1;305463;38;20;2;6;3
104;1;351722;152;110;11;10;21
105;1;371816;56;69;10;0;1
106;1;378380;117;86;3;4;4
107;1;384840;254;130;10;0;2
108;1;378492;62;29;0;9;2
109;1;171281;71;8;17;1;2
110;1;398268;208;9;19;1;15
111;1;331902;137;47;10;2;2
112;1;451563;64;17;7;3;2
113;1;338711;7;22;0;0;2
114;1;258984;19;11;20;0;4
115;1;391697;33;108;10;9;21
116;1;1095930;0;0;0;0;0
117;1;418446;0;0;0;0;0
118;1;318816;0;0;0;0;0
119;1;352026;0;0;0;0;0
120;1;365310;0;0;0;0;0
121;1;1069362;0;0;0;0;0
122;1;471582;0;0;0;0;0
123;1;278943;1;16;2;0;2
124;1;491385;39;73;3;6;2
125;1;351659;305;37;18;4;3
126;1;365310;0;0;0;0;0
127;1;278964;0;0;0;0;0
128;1;544644;0;0;0;0;0
129;1;405162;0;0;0;0;0
130;1;132430;0;0;0;0;0
131;1;272322;0;0;0;0;0
132;1;398520;0;0;0;0;0
133;1;949465;131;96;49;60;5
134;1;378502;62;19;0;9;2
135;1;365138;33;49;8;4;78
136;1;404934;170;33;8;2;15
137;1;338482;144;85;10;10;11
138;1;358460;115;13;78;0;2
139;1;318786;21;6;1;0;2
140;1;411799;2;1;0;0;2
141;1;451388;229;18;16;3;2
142;1;365282;17;4;5;0;2
143;1;571098;76;27;7;2;2
144;1;371692;217;11;15;15;2
145;1;391506;210;113;8;26;15
146;1;332005;37;10;44;0;4
147;1;418227;117;10;8;5;79
148;1;498031;37;71;3;6;2
149;1;736692;344;144;39;40;3
150;1;471582;0;0;0;0;0
151;1;1082000;485;49;15;82;15
152;1;630626;261;41;51;3;8
153;1;1301293;440;47;19;24;9
154;1;398269;205;28;12;2;4
155;1;371947;2;0;0;0;3
156;1;405162;0;0;0;0;0
157;1;1089288;0;0;0;0;0
158;1;325458;0;0;0;0;0
159;1;46740;0;0;0;0;0
160;1;451528;54;5;61;2;6
161;1;478092;43;79;2;6;2
162;1;46740;0;0;0;0;0
163;1;411663;127;9;1;2;2
164;1;571173;25;2;6;2;4
165;1;365230;27;22;25;4;2
166;1;351757;220;11;20;16;2
167;1;424958;97;17;14;0;2
168;1;325317;79;11;47;0;4
169;1;351954;53;16;1;0;2
170;1;471430;61;80;3;6;2
171;1;471433;58;80;3;6;2
172;1;371920;10;15;5;0;2
173;1;371856;63;20;2;9;2
174;1;1115312;398;60;18;52;16
175;1;471454;46;71;3;6;2
176;1;344945;336;49;25;27;2
177;1;478109;34;70;3;6;2
178;1;151790;80;11;4;2;18
179;1;438209;43;75;39;2;4
180;1;351827;73;112;9;2;3
181;1;345351;25;3;1;0;4
182;1;344950;354;53;23;2;2
183;1;391818;48;2;6;3;1
184;1;458153;117;11;13;1;3
185;1;391585;262;26;1;2;2
186;1;484866;0;0;0;0;0
187;1;385236;0;0;0;0;0
188;1;338742;0;0;0;0;0
189;1;1089288;0;0;0;0;0
190;1;398520;0;0;0;0;0
191;1;504792;0;0;0;0;0
192;1;418446;0;0;0;0;0
193;1;278964;0;0;0;0;0
194;1;358668;0;0;0;0;0
195;1;464807;43;80;2;6;2
196;1;424949;120;17;0;0;2
197;1;610607;189;213;17;22;16
198;1;983016;0;0;0;0;0
199;1;352026;0;0;0;0;0
200;1;257070;0;0;0;0;0
201;1;471488;38;51;1;2;2
202;1;358503;95;26;34;1;9
