ID_interaction;Class_interactions;0;1;2;3;4;5;6
0;1;276371;144;8;1;3;3;15
1;1;276359;141;24;3;0;4;14
2;1;365044;192;52;5;11;2;4
3;1;371692;195;43;5;11;2;4
4;1;378442;64;78;5;2;2;1
5;1;471459;39;71;4;7;0;2
6;1;583874;456;92;18;46;8;2
7;1;365229;42;28;0;3;0;8
8;1;318427;328;27;28;2;0;4
9;1;498032;41;64;4;7;0;2
10;1;365310;0;0;0;0;0;0
11;1;378546;18;26;0;0;2;2
12;1;498034;32;71;4;7;0;2
13;1;411665;97;21;17;0;0;4
14;1;444891;71;19;14;1;17;1
15;1;338726;5;7;0;2;0;2
16;1;244941;300;112;6;12;0;14
17;1;597486;214;14;5;12;44;5
18;1;278803;120;14;11;0;14;2
19;1;431573;95;27;29;2;0;4
20;1;1095446;344;56;14;67;1;2
21;1;471432;59;78;4;7;0;2
22;1;1029363;138;6;1;1;0;1
23;1;411804;0;0;0;0;0;0
24;1;484866;0;0;0;0;0;0
25;1;345384;0;0;0;0;0;0
26;1;391865;2;1;5;2;2;1
27;1;404534;496;49;4;65;13;1
28;1;504676;35;69;3;7;0;2
29;1;444841;142;29;0;0;0;2
30;1;351751;223;11;14;9;16;2
31;1;497618;323;143;46;16;0;4
32;1;358421;162;72;5;7;0;1
33;1;364941;244;65;42;12;2;4
34;1;358534;113;8;9;1;2;1
35;1;371697;185;50;4;10;2;4
36;1;478020;48;141;5;7;1;2
37;1;351870;125;12;6;0;6;7
38;1;517958;36;70;3;7;0;2
39;1;365231;67;6;3;0;0;3
40;1;444645;316;29;18;1;3;2
41;1;590977;145;2;2;7;2;3
42;1;491381;42;72;4;7;0;2
43;1;504706;14;62;2;6;0;2
44;1;431583;88;20;19;2;2;16
45;1;352005;12;2;0;2;2;3
46;1;590486;478;100;18;46;8;2
47;1;497989;0;147;0;5;1;8
48;1;617706;0;0;0;0;0;0
49;1;504792;0;0;0;0;0;0
50;1;1122498;0;0;0;0;0;0
51;1;584084;369;15;1;1;9;17
52;1;464829;98;4;2;5;0;2
53;1;471465;33;71;4;7;0;2
54;1;298809;55;2;14;7;0;3
55;1;365050;217;11;6;9;15;2
56;1;311844;136;113;64;3;13;1
57;1;378465;25;15;2;18;1;68
58;1;284003;205;75;22;25;3;2
59;1;358409;188;51;4;10;2;4
60;1;167334;111;22;0;2;2;14
