ID_interaction;Class_interactions;0;1;2;3;4;5;6;7
0;1;276371;120;31;1;2;2;3;15
1;1;276359;121;42;3;2;0;4;14
2;1;365044;192;48;8;10;2;2;4
3;1;371692;195;39;8;10;2;2;4
4;1;378389;105;88;2;6;1;2;1
5;1;471194;281;92;4;3;6;0;2
6;1;583874;282;248;18;44;20;8;2
7;1;365202;54;43;0;0;3;0;8
8;1;318427;328;27;1;27;2;0;4
9;1;497828;221;86;4;3;6;0;2
10;1;365310;0;0;0;0;0;0;0
11;1;378229;333;27;1;0;0;2;2
12;1;497816;233;86;4;3;6;0;2
13;1;411665;97;2;21;15;0;0;4
14;1;444891;71;19;12;2;1;17;1
15;1;338606;123;6;3;2;0;0;2
16;1;244941;300;112;6;12;0;0;14
17;1;597292;194;214;14;5;12;44;5
18;1;278803;120;8;9;8;9;5;2
19;1;431573;95;21;20;15;2;0;4
20;1;1095446;324;76;14;53;15;0;2
21;1;471176;284;109;2;3;6;0;2
22;1;1029363;104;36;4;2;0;0;1
23;1;411804;0;0;0;0;0;0;0
24;1;484866;0;0;0;0;0;0;0
25;1;345384;0;0;0;0;0;0;0
26;1;391865;2;1;0;6;1;2;1
27;1;404534;436;96;13;35;34;13;1
28;1;504409;279;92;1;3;6;0;2
29;1;444658;238;101;15;0;0;0;2
30;1;351574;177;223;11;14;9;16;2
31;1;497618;323;95;62;48;0;0;4
32;1;358421;160;72;4;3;7;0;1
33;1;364941;244;61;11;44;3;2;4
34;1;358534;95;21;8;6;3;0;1
35;1;371697;185;48;6;8;2;2;4
36;1;477860;185;88;78;4;6;1;2
37;1;351870;125;12;6;0;6;0;7
38;1;517681;288;95;1;3;6;0;2
39;1;365231;53;20;3;0;0;0;3
40;1;444645;316;19;15;13;1;3;2
41;1;590977;143;4;2;5;2;2;3
42;1;491104;294;95;4;3;6;0;2
43;1;504538;178;66;0;2;6;0;2
44;1;431327;325;27;25;6;2;2;16
45;1;351857;160;2;0;0;2;3;2
46;1;590486;316;239;23;44;20;8;2
47;1;497989;0;0;147;5;0;1;8
48;1;617706;0;0;0;0;0;0;0
49;1;504792;0;0;0;0;0;0;0
50;1;1122498;0;0;0;0;0;0;0
51;1;584084;328;52;4;1;8;2;17
52;1;464829;98;4;2;5;0;0;2
53;1;471223;257;87;4;3;6;0;2
54;1;298809;43;14;4;10;7;0;3
55;1;364892;158;217;11;6;9;15;2
56;1;311844;136;113;60;4;3;13;1
57;1;378430;58;14;4;1;19;0;68
58;1;284003;205;75;0;22;25;3;2
59;1;358409;188;49;6;8;2;2;4
60;1;167334;91;41;1;0;2;2;14
61;1;623863;277;141;20;45;0;0;2
62;1;10848;17;4;9;0;0;1;1
63;1;511036;354;27;14;1;0;0;2
64;1;404905;158;31;49;7;1;6;5
65;1;611064;0;0;0;0;0;0;0
66;1;637632;0;0;0;0;0;0;0
67;1;352026;0;0;0;0;0;0;0
68;1;511434;0;0;0;0;0;0;0
69;1;171331;17;4;0;26;0;0;2
70;1;504691;33;59;0;2;6;0;1
71;1;484601;181;71;3;2;6;0;2
72;1;424564;437;45;17;16;4;0;5
73;1;484608;162;85;1;2;6;0;2
74;1;12543;20;0;3;7;0;6;1
75;1;54408;0;87;0;0;31;0;4
76;1;217667;290;66;29;17;26;0;25
77;1;517778;178;43;39;0;4;0;34
78;1;1082223;311;74;14;7;15;0;2
79;1;364964;266;62;12;3;0;1;2
80;1;371850;35;1;54;8;1;2;1
81;1;268575;123;32;2;2;3;3;15
82;1;318554;248;9;0;1;0;0;4
83;1;411182;435;92;13;34;34;13;1
84;1;656936;289;234;18;60;15;2;4
85;1;484417;343;95;1;2;6;0;2
86;1;484765;66;17;6;8;2;1;1
87;1;183006;37;3;7;4;4;0;4
88;1;291734;241;91;0;23;31;3;2
89;1;278779;164;9;2;6;0;0;4
90;1;365132;125;25;15;2;9;0;2
91;1;444395;512;45;23;17;5;14;3
92;1;610464;269;237;18;51;15;8;2
93;1;311716;374;27;28;16;4;8;1
94;1;484506;276;74;0;2;6;0;2
95;1;936149;219;122;5;7;6;0;14
96;1;391878;0;0;0;0;0;0;0
97;1;325458;0;0;0;0;0;0;0
98;1;963090;0;0;0;0;0;0;0
99;1;405162;0;0;0;0;0;0;0
100;1;391878;0;0;0;0;0;0;0
101;1;451382;213;34;10;0;1;0;16
102;1;344971;150;220;11;14;0;16;2
103;1;305384;112;24;1;2;0;8;1
104;1;351526;196;152;110;11;10;8;13
105;1;371701;162;74;4;3;7;0;1
106;1;378380;103;30;70;3;2;3;3
107;1;384840;173;159;52;10;0;0;2
108;1;378393;139;26;25;0;9;0;2
109;1;171281;62;17;0;17;1;0;2
110;1;398268;192;16;9;19;1;0;15
111;1;331902;109;31;44;10;0;2;2
112;1;451247;346;34;17;6;4;0;2
113;1;338654;61;13;12;0;0;0;2
114;1;258764;229;19;2;19;1;0;4
115;1;391551;146;33;108;10;9;8;13
116;1;1095930;0;0;0;0;0;0;0
117;1;418446;0;0;0;0;0;0;0
118;1;318816;0;0;0;0;0;0;0
119;1;352026;0;0;0;0;0;0;0
120;1;365310;0;0;0;0;0;0;0
121;1;1069362;0;0;0;0;0;0;0
122;1;471582;0;0;0;0;0;0;0
123;1;278941;2;16;1;0;2;0;2
124;1;491120;281;92;4;3;6;0;2
125;1;351659;234;103;5;10;12;0;3
126;1;365310;0;0;0;0;0;0;0
127;1;278964;0;0;0;0;0;0;0
128;1;544644;0;0;0;0;0;0;0
129;1;405162;0;0;0;0;0;0;0
130;1;132430;0;0;0;0;0;0;0
131;1;272322;0;0;0;0;0;0;0
132;1;398520;0;0;0;0;0;0;0
133;1;948990;566;40;96;49;15;48;2
134;1;378418;124;26;15;0;9;0;2
135;1;365043;95;33;49;8;4;12;66
136;1;404765;269;80;23;8;0;15;2
137;1;338482;144;85;0;10;10;0;11
138;1;358460;87;37;4;78;0;0;2
139;1;318763;44;2;4;1;0;0;2
140;1;411775;25;1;1;0;0;0;2
141;1;451061;471;85;18;16;3;0;2
142;1;365223;74;4;2;5;0;0;2
143;1;571032;123;32;14;6;2;1;2
144;1;371526;166;217;11;6;9;15;2
145;1;391506;210;93;20;8;0;26;15
146;1;331906;99;37;10;44;0;3;1
147;1;418032;195;117;10;8;5;13;66
148;1;497729;315;94;1;3;6;0;2
149;1;736284;627;125;144;39;39;1;3
150;1;471582;0;0;0;0;0;0;0
151;1;1081476;942;83;33;15;68;25;4
152;1;630626;190;98;14;51;1;8;2
153;1;1300885;759;106;30;19;10;15;8
154;1;398269;185;46;2;10;2;2;4
155;1;371929;18;2;0;0;0;0;3
156;1;405162;0;0;0;0;0;0;0
157;1;1089288;0;0;0;0;0;0;0
158;1;325458;0;0;0;0;0;0;0
159;1;46740;0;0;0;0;0;0;0
160;1;451528;51;3;5;61;0;2;6
161;1;477824;294;95;1;2;6;0;2
162;1;46740;0;0;0;0;0;0;0
163;1;411402;276;112;9;0;1;2;2
164;1;571053;143;2;2;5;2;2;3
165;1;365075;180;22;2;25;3;1;2
166;1;351607;150;220;11;20;0;16;2
167;1;424711;319;25;17;14;0;0;2
168;1;325206;111;79;11;47;0;3;1
169;1;351933;70;7;13;1;0;0;2
170;1;471124;336;109;2;3;6;0;2
171;1;471152;307;110;2;3;6;0;2
172;1;371840;81;11;13;5;0;0;2
173;1;371774;125;25;15;2;9;0;2
174;1;1114892;725;119;34;17;1;53;15
175;1;471148;332;90;1;3;6;0;2
176;1;344945;336;32;17;25;1;26;2
177;1;477869;252;91;1;3;6;0;2
178;1;151722;111;45;3;2;2;4;16
179;1;437991;248;13;75;39;2;0;4
180;1;351827;68;16;101;9;0;3;2
181;1;345324;27;25;3;1;0;0;4
182;1;344950;205;191;11;23;0;2;2
183;1;391707;136;23;2;6;1;2;1
184;1;458153;95;31;2;0;13;1;3
185;1;391390;392;70;21;1;2;0;2
186;1;484866;0;0;0;0;0;0;0
187;1;385236;0;0;0;0;0;0;0
188;1;338742;0;0;0;0;0;0;0
189;1;1089288;0;0;0;0;0;0;0
190;1;398520;0;0;0;0;0;0;0
191;1;504792;0;0;0;0;0;0;0
192;1;418446;0;0;0;0;0;0;0
193;1;278964;0;0;0;0;0;0;0
194;1;358668;0;0;0;0;0;0;0
195;1;464552;280;97;1;2;6;0;2
196;1;424865;129;89;3;0;0;0;2
197;1;610607;189;153;60;17;9;13;16
198;1;983016;0;0;0;0;0;0;0
199;1;352026;0;0;0;0;0;0;0
200;1;257070;0;0;0;0;0;0;0
201;1;471488;31;36;22;0;1;2;2
202;1;358503;85;27;9;34;1;0;9
203;1;750384;55;86;4;14;0;1;2
204;1;1108867;166;52;92;19;4;0;14
205;1;1076004;0;0;0;0;0;0;0
206;1;338742;0;0;0;0;0;0;0
207;1;338742;0;0;0;0;0;0;0
208;1;591066;60;3;2;0;2;2;3
209;1;303691;75;8;1;11;0;0;24
210;1;338282;179;228;12;14;9;16;2
