ID_interaction;Class_interactions;0;1;2;3;4;5;6;7;8
0;1;276371;120;27;5;1;1;2;3;15
1;1;276359;121;33;11;3;0;0;4;14
2;1;364834;303;121;30;5;11;2;3;1
3;1;371486;302;122;20;5;11;2;3;1
4;1;378389;63;130;2;5;1;3;0;1
5;1;471194;281;23;71;4;1;6;0;2
6;1;583874;282;174;92;18;26;22;6;2
7;1;365202;54;38;5;0;0;3;0;8
8;1;318427;328;17;11;27;2;0;0;4
9;1;497828;221;24;64;4;1;6;0;2
10;1;365310;0;0;0;0;0;0;0;0
11;1;378229;333;27;1;0;0;2;1;1
12;1;497816;233;17;71;4;1;6;0;2
13;1;411665;86;13;19;17;0;0;0;4
14;1;444524;367;71;19;12;2;1;17;1
15;1;338606;123;2;7;0;2;0;0;2
16;1;244941;300;112;6;0;12;0;0;14
17;1;597292;194;214;14;5;12;44;0;5
18;1;278671;250;8;11;7;1;9;6;1
19;1;431573;68;48;6;29;0;2;0;4
20;1;1095446;324;72;17;1;62;6;0;2
21;1;471176;284;31;78;4;1;6;0;2
22;1;1029363;104;34;6;1;1;0;0;1
23;1;411804;0;0;0;0;0;0;0;0
24;1;484866;0;0;0;0;0;0;0;0
25;1;345384;0;0;0;0;0;0;0;0
26;1;391865;2;1;0;5;1;3;0;1
27;1;404534;436;60;49;4;31;41;6;1
28;1;504409;279;23;69;3;1;6;0;2
29;1;444658;238;87;29;0;0;0;0;2
30;1;351574;177;223;11;14;9;16;1;1
31;1;497618;236;182;48;46;16;0;0;4
32;1;358332;221;35;67;2;10;0;0;1
33;1;364765;303;148;34;42;11;3;3;1
34;1;358414;215;20;9;5;1;3;0;1
35;1;371496;287;121;28;4;10;2;3;1
36;1;477860;185;23;141;5;1;6;1;2
37;1;351870;125;12;6;0;0;6;0;7
38;1;517681;288;25;70;3;1;6;0;2
39;1;365205;75;18;8;1;0;0;0;3
40;1;444645;269;66;10;18;0;1;3;2
41;1;590860;256;8;0;2;6;1;2;3
42;1;491104;294;25;72;4;1;6;0;2
43;1;504538;178;4;62;2;0;6;0;2
44;1;431327;325;27;25;2;6;2;9;7
45;1;351857;160;0;2;0;1;1;3;2
46;1;590486;316;162;100;18;26;22;6;2
47;1;497989;0;0;147;0;5;0;1;8
48;1;617706;0;0;0;0;0;0;0;0
49;1;504792;0;0;0;0;0;0;0;0
50;1;1122498;0;0;0;0;0;0;0;0
51;1;584084;328;47;9;1;1;7;2;17
52;1;464829;46;56;0;2;5;0;0;2
53;1;471223;257;18;71;4;1;6;0;2
54;1;298809;43;12;2;14;7;0;0;3
55;1;364892;158;217;11;6;9;15;1;1
56;1;311450;394;136;113;60;4;3;13;1
57;1;378430;56;10;9;2;11;8;0;68
58;1;284003;205;0;75;22;0;25;3;2
59;1;358220;278;122;28;4;10;2;3;1
60;1;167334;91;40;2;0;2;0;2;14
61;1;623863;250;85;103;10;35;0;0;2
62;1;10848;17;1;8;4;0;0;1;1
63;1;511036;354;27;14;0;1;0;1;1
64;1;404905;158;31;49;7;1;6;2;3
65;1;611064;0;0;0;0;0;0;0;0
66;1;637632;0;0;0;0;0;0;0;0
67;1;352026;0;0;0;0;0;0;0;0
68;1;511434;0;0;0;0;0;0;0;0
69;1;171331;17;4;0;12;14;0;0;2
70;1;504672;52;4;55;1;7;0;0;1
71;1;484601;181;9;64;3;0;6;0;2
72;1;424564;437;45;17;15;1;4;0;5
73;1;484608;162;15;70;3;0;6;0;2
74;1;12543;20;0;3;0;7;0;6;1
75;1;54408;0;0;87;0;0;31;0;4
76;1;217667;290;66;29;13;28;2;0;25
77;1;517616;257;111;47;7;0;4;0;34
78;1;1082223;311;71;16;1;16;6;0;2
79;1;364964;266;50;16;8;3;0;1;2
80;1;371850;26;10;53;8;1;3;0;1
81;1;268575;123;27;7;1;1;3;3;15
82;1;318554;248;1;8;1;0;0;0;4
83;1;411182;435;58;47;4;30;41;6;1
84;1;656936;289;157;95;29;31;17;0;4
85;1;484417;343;17;78;3;0;6;0;2
86;1;484765;66;1;19;10;1;2;1;1
87;1;182914;120;12;7;2;2;4;0;4
88;1;291734;241;0;91;23;0;31;3;2
89;1;278779;164;1;10;1;5;0;0;4
90;1;365132;125;20;20;0;2;9;0;2
91;1;444395;512;45;23;3;15;13;7;1
92;1;610464;269;162;93;25;26;17;6;2
93;1;311716;374;10;17;43;1;4;8;1
94;1;484506;276;4;70;2;0;6;0;2
95;1;935887;453;89;64;7;8;0;0;14
96;1;391878;0;0;0;0;0;0;0;0
97;1;325458;0;0;0;0;0;0;0;0
98;1;963090;0;0;0;0;0;0;0;0
99;1;405162;0;0;0;0;0;0;0;0
100;1;391878;0;0;0;0;0;0;0;0
101;1;451382;213;19;23;2;0;1;0;16
102;1;344971;150;220;11;14;0;16;1;1
103;1;305384;102;15;20;2;0;5;3;1
104;1;351526;196;152;110;0;11;10;8;13
105;1;371608;227;37;67;2;10;0;0;1
106;1;378380;103;14;86;2;1;4;1;3
107;1;384840;173;81;130;1;9;0;0;2
108;1;378393;139;22;29;0;0;9;0;2
109;1;171281;62;9;8;16;1;1;0;2
110;1;398268;192;16;9;18;1;1;0;15
111;1;331902;109;28;47;1;9;2;0;2
112;1;451247;346;34;17;0;7;3;1;1
113;1;338654;61;3;22;0;0;0;0;2
114;1;258764;229;10;11;14;6;0;0;4
115;1;391551;146;33;108;0;10;9;8;13
116;1;1095930;0;0;0;0;0;0;0;0
117;1;418446;0;0;0;0;0;0;0;0
118;1;318816;0;0;0;0;0;0;0;0
119;1;352026;0;0;0;0;0;0;0;0
